CustomerID,Country,CountryGroup,MonetaryValue,FirstOrderDate,LastOrderDate,Recency,Freq
12347,Iceland,Europe,4309.999999999997,2010-12-07,2011-12-07,-3.0,0.1335149863760218
12348,Finland,Europe,1797.24,2010-12-16,2011-09-25,-76.0,0.0782122905027933
12349,Italy,Europe,1757.55,2011-11-21,2011-11-21,-19.0,0.38888888888888884
12350,Norway,Europe,334.40000000000003,2011-02-02,2011-02-02,-311.0,0.02258064516129032
12352,Norway,Europe,1545.4100000000003,2011-02-16,2011-11-03,-37.0,0.16554054054054054
12353,Bahrain,NotEurope,89.0,2011-05-19,2011-05-19,-205.0,0.03431372549019608
12354,Spain,Europe,1079.4,2011-04-21,2011-04-21,-233.0,0.030172413793103446
12355,Bahrain,NotEurope,459.4,2011-05-09,2011-05-09,-215.0,0.03271028037383177
12356,Portugal,Europe,2811.4300000000007,2011-01-18,2011-11-17,-23.0,0.06461538461538462
12357,Switzerland,Europe,6207.669999999996,2011-11-06,2011-11-06,-34.0,0.21212121212121213
12358,Austria,Europe,1168.06,2011-07-12,2011-12-08,-2.0,0.09333333333333334
12359,Cyprus,Europe,6245.530000000006,2011-01-12,2011-10-13,-58.0,0.08459214501510574
12360,Austria,Europe,2662.0600000000004,2011-05-23,2011-10-18,-53.0,0.105
12361,Belgium,Europe,189.89999999999998,2011-02-25,2011-02-25,-288.0,0.024390243902439025
12362,Belgium,Europe,5154.580000000002,2011-02-17,2011-12-06,-4.0,0.23728813559322035
12363,Unspecified,NotEurope,552.0,2011-04-11,2011-08-22,-110.0,0.05785123966942149
12364,Belgium,Europe,1313.1000000000001,2011-08-19,2011-12-02,-8.0,0.25
12365,Cyprus,Europe,320.69,2011-02-21,2011-02-21,-292.0,0.024054982817869414
12367,Denmark,Europe,168.9,2011-12-05,2011-12-05,-5.0,1.75
12370,Cyprus,Europe,3545.689999999998,2010-12-14,2011-10-19,-52.0,0.07777777777777778
12371,Switzerland,Europe,1887.9600000000003,2011-10-11,2011-10-26,-45.0,0.23728813559322035
12372,Denmark,Europe,1298.0400000000002,2011-02-16,2011-09-29,-72.0,0.07094594594594594
12373,Austria,Europe,364.6,2011-02-01,2011-02-01,-312.0,0.022508038585209004
12374,Austria,Europe,742.93,2011-11-14,2011-11-14,-26.0,0.28
12375,Finland,Europe,455.42000000000013,2011-09-02,2011-11-29,-11.0,0.14285714285714285
12377,Switzerland,Europe,1628.1199999999997,2010-12-20,2011-01-28,-316.0,0.03954802259887005
12378,Switzerland,Europe,4008.6200000000013,2011-08-02,2011-08-02,-130.0,0.05426356589147287
12379,Belgium,Europe,850.2899999999996,2011-06-22,2011-09-19,-82.0,0.08235294117647059
12380,Belgium,Europe,2720.56,2011-06-07,2011-11-18,-22.0,0.15135135135135136
12381,Norway,Europe,1803.9600000000005,2011-08-12,2011-12-05,-5.0,0.29411764705882354
12383,Belgium,Europe,1839.3099999999997,2010-12-22,2011-06-08,-185.0,0.09943181818181818
12384,Switzerland,Europe,566.16,2011-08-10,2011-11-11,-29.0,0.11570247933884298
12386,Australia,NotEurope,401.90000000000003,2010-12-08,2011-01-06,-338.0,0.03825136612021858
12388,Australia,NotEurope,2780.6600000000003,2011-01-17,2011-11-24,-16.0,0.12883435582822086
12390,Belgium,Europe,549.8399999999999,2011-09-21,2011-09-21,-80.0,0.08860759493670886
12391,Cyprus,Europe,460.89,2011-11-18,2011-11-18,-22.0,0.3333333333333333
12393,Australia,NotEurope,1582.6000000000004,2011-01-11,2011-09-28,-73.0,0.08433734939759037
12394,Belgium,Europe,1272.48,2011-05-06,2011-10-07,-64.0,0.06451612903225806
12395,Belgium,Europe,2998.279999999999,2010-12-03,2011-11-20,-20.0,0.20754716981132076
12397,Belgium,Europe,2409.9000000000005,2011-07-27,2011-11-04,-36.0,0.10370370370370371
12398,Switzerland,Europe,1635.6599999999999,2011-10-25,2011-10-25,-46.0,0.15555555555555556
12399,Belgium,Europe,1108.65,2011-03-23,2011-08-12,-120.0,0.10727969348659003
12401,Belgium,Europe,84.3,2011-02-09,2011-02-09,-304.0,0.023102310231023104
12402,Belgium,Europe,225.6,2011-01-20,2011-01-20,-324.0,0.021671826625386997
12403,Denmark,Europe,409.7,2011-10-21,2011-10-21,-50.0,0.14285714285714285
12405,Finland,Europe,1710.3900000000006,2011-07-14,2011-07-14,-149.0,0.0472972972972973
12406,Denmark,Europe,3280.7500000000014,2011-06-09,2011-11-17,-23.0,0.07650273224043716
12407,Belgium,Europe,1708.1199999999997,2011-03-20,2011-10-21,-50.0,0.13257575757575757
12408,Belgium,Europe,2842.57,2011-03-24,2011-11-07,-33.0,0.1076923076923077
12409,Switzerland,Europe,11056.930000000004,2011-06-10,2011-09-22,-79.0,0.11538461538461539
