StockCode,Description,NumberOfOrders,NumberOfCustomers,TotalQty,TotalPrice,AvgUnitPrice
10002,INFLATABLE POLITICAL GLOBE ,71,71,860,759.89,0.8835930232558139
10080,GROOVY CACTUS INFLATABLE,22,22,303,119.08999999999999,0.393036303630363
10120,DOGGY RUBBER,29,29,193,40.53,0.21
10123C,HEARTS WRAPPING TAPE ,3,3,5,3.25,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,5,5,16,6.72,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,4,4,17,7.14,0.42
10125,MINI FUNKY DESIGN TAPES,91,91,1296,994.84,0.7676234567901234
10133,COLOURING PENCILS BROWN TUBE,194,194,2857,1540.02,0.5390339516975848
10135,COLOURING PENCILS BROWN TUBE,176,176,2230,2206.14,0.9893004484304933
11001,ASSTD DESIGN RACING CAR PEN,116,116,1430,2152.39,1.5051678321678321
15030,FAN BLACK FRAME ,12,12,143,41.47,0.29
15034,PAPER POCKET TRAVELING FAN ,142,142,5206,731.73,0.14055512869765655
15036,ASSORTED COLOURS SILK FAN,521,521,23082,18064.16,0.7826080928862317
15039,SANDALWOOD FAN,148,148,2065,1957.3899999999999,0.9478886198547215
15044A,PINK PAPER PARASOL ,103,103,463,1453.7700000000002,3.1398920086393094
15044B,BLUE PAPER PARASOL ,61,61,320,943.8800000000001,2.949625
15044C,PURPLE PAPER PARASOL,90,90,311,1017.8900000000001,3.2729581993569137
15044D,RED PAPER PARASOL,86,86,643,1817.21,2.826143079315708
15056BL,EDWARDIAN PARASOL BLACK,386,386,2801,16263.220000000001,5.80621920742592
15056N,EDWARDIAN PARASOL NATURAL,545,545,4024,23424.32,5.821153081510935
15056P,EDWARDIAN PARASOL PINK,174,174,801,4721.1,5.894007490636705
15058A,BLUE POLKADOT GARDEN PARASOL,93,93,195,1631.14,8.364820512820513
15058B,PINK POLKADOT GARDEN PARASOL,99,99,223,1847.9199999999998,8.286636771300447
15058C,ICE CREAM DESIGN GARDEN PARASOL,72,72,240,1429.82,5.957583333333333
15060B,FAIRY CAKE DESIGN UMBRELLA,135,135,453,1828.67,4.036799116997793
16008,SMALL FOLDING SCISSOR(POINTED EDGE),70,70,2892,360.71,0.1247268326417704
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3,3,30,3.5999999999999996,0.11999999999999998
16011,ANIMAL STICKERS,46,46,1773,372.33,0.21
16012,FOOD/DRINK SPONGE STICKERS,35,35,1244,261.24,0.21000000000000002
16014,SMALL CHINESE STYLE SCISSOR,54,54,13328,4335.76,0.32531212484994
16015,MEDIUM CHINESE STYLE SCISSOR,24,24,662,289.98,0.43803625377643507
16016,LARGE CHINESE STYLE SCISSOR,65,65,1273,1053.45,0.8275333857030637
16020C,CLEAR STATIONERY BOX SET ,17,17,84,69.89999999999999,0.8321428571428571
16033,MINI HIGHLIGHTER PENS,4,4,840,100.79999999999998,0.11999999999999998
16043,POP ART PUSH DOWN RUBBER ,2,2,98,11.759999999999998,0.11999999999999998
16045,POPART WOODEN PENCILS ASST,68,68,8900,380.0,0.04269662921348315
16046,TEATIME PEN CASE & PENS,14,14,68,57.8,0.85
16048,TEATIME ROUND PENCIL SHARPENER ,67,67,1461,205.42,0.14060232717316906
16049,TEATIME GEL PENS ASST,5,5,504,82.08,0.16285714285714287
16052,TEATIME PUSH DOWN RUBBER,13,13,479,115.3,0.2407098121085595
16054,POPART RECT PENCIL SHARPENER ASST,34,34,1058,127.56,0.1205671077504726
16151A,FLOWERS HANDBAG blue and orange,3,3,49,61.25,1.25
16156L,WRAP CAROUSEL,18,18,475,199.5,0.42
16156S,WRAP PINK FAIRY CAKES ,167,167,5800,2331.0,0.4018965517241379
16161G,WRAP BAD HAIR DAY,22,22,700,70.0,0.1
16161M,WRAP  PINK FLOCK,1,1,25,10.5,0.42
16161P,WRAP ENGLISH ROSE ,249,249,7201,2980.42,0.4138897375364533
16161U,WRAP SUKI AND FRIENDS,135,135,4050,1677.0,0.4140740740740741
16162L,THE KING GIFT BAG,8,8,20,13.0,0.65
16162M,THE KING GIFT BAG 25x24x12cm,8,8,28,11.76,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,41,41,371,173.12,0.46663072776280323
16169E,WRAP 50'S  CHRISTMAS,148,148,4438,1839.96,0.41459215863001353
16169K,WRAP FOLK ART,8,8,200,84.0,0.42
16169M,WRAP DAISY CARPET ,25,25,660,277.2,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,1,1,25,10.5,0.42
16169P,WRAP GREEN RUSSIAN FOLKART ,2,2,50,21.0,0.42
16202A,PASTEL PINK PHOTO ALBUM ,2,2,7,3.5,0.5
16202B,PASTEL BLUE PHOTO ALBUM ,2,2,29,14.5,0.5
16202E,BLACK PHOTO ALBUM ,4,4,14,1.9500000000000002,0.1392857142857143
16206B,RED PURSE WITH PINK HEART,2,2,7,8.75,1.25
16207A,PINK STRAWBERRY HANDBAG ,34,34,60,163.1,2.7183333333333333
16207B,PINK HEART RED HANDBAG,18,18,29,76.14,2.62551724137931
16216,LETTER SHAPE PENCIL SHARPENER,45,45,3333,234.0,0.0702070207020702
16218,CARTOON  PENCIL SHARPENERS,64,64,3821,283.31,0.07414551164616592
16219,HOUSE SHAPE PENCIL SHARPENER,101,101,3000,404.84,0.13494666666666666
16225,RATTLE SNAKE EGGS,101,101,815,691.85,0.8488957055214724
16235,RECYCLED PENCIL WITH RABBIT ERASER,168,168,3103,702.75,0.2264743796326136
16236,KITTY PENCIL ERASERS,134,134,1438,320.09,0.22259388038942973
16237,SLEEPING CAT ERASERS,287,287,4934,1035.96,0.2099635184434536
16238,PARTY TIME PENCIL ERASERS,133,133,1398,322.09,0.2303934191702432
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2,2,7,7.85,1.1214285714285714
16248B,BLUE HOLE PUNCH,7,7,13,16.25,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,17,17,40,42.58,1.0645
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,58,58,471,178.54999999999998,0.37908704883227173
16259,PIECE OF CAMO STATIONERY SET,30,30,3272,317.92,0.0971638141809291
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1,1,72,20.88,0.29
17003,BROCADE RING PURSE ,241,241,23053,5863.59,0.2543525788400642
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2,2,24,50.400000000000006,2.1
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,7,7,81,66.36,0.8192592592592592
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,65,65,323,375.93,1.1638699690402476
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,85,85,525,595.85,1.134952380952381
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,85,85,421,484.34999999999997,1.1504750593824227
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,97,97,463,550.64,1.1892872570194384
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,10,10,68,74.64,1.0976470588235294
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,94,94,448,530.6,1.184375
17013D,ORIGAMI ROSE INCENSE IN TUBE,13,13,535,267.82,0.5005981308411215
17014A,ORIGAMI VANILLA INCENSE CONES,8,8,155,71.19,0.45929032258064517
17021,NAMASTE SWAGAT INCENSE,47,47,2427,643.14,0.2649938195302843
17028J,INCENSE BAZAAR PEACH,1,1,6,2.52,0.42
17038,PORCELAIN BUDAH INCENSE HOLDER,34,34,1525,158.06,0.10364590163934427
17084A,TRANQUILITY MASALA INCENSE,7,7,200,42.0,0.21
17084J,LOVE POTION MASALA INCENSE,8,8,225,47.25,0.21
17084N,FAIRY DREAMS INCENSE ,101,101,1264,313.31,0.24787183544303798
17084P,DRAGONS BLOOD INCENSE,39,39,423,104.44,0.24690307328605202
17084R,ASSORTED INCENSE PACK,27,27,4032,760.3199999999999,0.18857142857142856
17090A,LAVENDER INCENSE 40 CONES IN TIN,10,10,109,107.44999999999999,0.9857798165137613
17090D,VANILLA INCENSE 40 CONES IN TIN,12,12,29,36.25,1.25
17091A,LAVENDER INCENSE IN TIN,25,25,172,99.29,0.5772674418604652
17091J,VANILLA INCENSE IN TIN,94,94,2084,920.67,0.44178023032629554
17096,ASSORTED LAQUERED INCENSE HOLDERS,24,24,2545,455.9800000000001,0.1791669941060904
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",46,46,171,436.04999999999995,2.55
17109D,FLOWER FAIRY INCENSE BOUQUET,5,5,61,32.35,0.5303278688524591
17129F,BLUE GLASS GEMS IN BAG,58,58,586,552.13,0.9422013651877134
17136A,BLUE STONES ON WIRE FOR CANDLE,17,17,404,33.75,0.08353960396039604
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,9,9,29,12.18,0.42
17165D,ASS COL LARGE SAND FROG P'WEIGHT,7,7,27,28.35,1.05
17174,ASSTD RASTA KEY-CHAINS,3,3,9,3.7800000000000002,0.42000000000000004
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,2,2,4,15.0,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,30,30,5884,395.61,0.06723487423521414
18094C,WHITE AND BLUE CERAMIC OIL BURNER,42,42,192,283.93,1.4788020833333333
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,4,4,5,12.75,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,71,71,407,1029.4099999999999,2.529262899262899
18098C,PORCELAIN BUTTERFLY OIL BURNER,61,61,265,921.87,3.478754716981132
20615,BLUE POLKADOT PASSPORT COVER,95,95,309,466.99,1.511294498381877
20616,CHERRY BLOSSOM PASSPORT COVER,71,71,194,243.53,1.2553092783505155
20617,FIRST CLASS PASSPORT COVER ,43,43,93,194.94,2.0961290322580646
20618,QUEEN OF THE SKIES PASSPORT COVER ,76,76,148,286.39,1.9350675675675675
20619,TROPICAL PASSPORT COVER ,99,99,262,439.65,1.6780534351145038
20622,VIPPASSPORT COVER ,50,50,186,305.8,1.6440860215053763
20652,BLUE POLKADOT LUGGAGE TAG ,78,78,268,350.61,1.3082462686567164
20653,CHERRY BLOSSOM LUGGAGE TAG,33,33,73,95.17999999999999,1.303835616438356
20654,FIRST CLASS LUGGAGE TAG ,49,49,152,193.59,1.2736184210526316
20655,QUEEN OF SKIES LUGGAGE TAG,99,99,197,292.29,1.4837055837563453
20657,TROPICAL LUGGAGE TAG,33,33,73,105.91,1.4508219178082191
20658,RED RETROSPOT LUGGAGE TAG,106,106,422,638.36,1.5127014218009478
20659,ECONOMY LUGGAGE TAG,62,62,159,248.09,1.560314465408805
20661,BLUE POLKADOT PURSE ,33,33,44,141.15,3.2079545454545455
20662,FIRST CLASS HOLIDAY PURSE ,20,20,31,90.42,2.9167741935483873
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,20,20,25,66.25999999999999,2.6503999999999994
20664,TROPICAL HOLIDAY PURSE ,18,18,32,81.66,2.551875
20665,RED RETROSPOT PURSE ,155,155,461,1546.2700000000002,3.3541648590021698
20666,ECONOMY HOLIDAY PURSE,17,17,30,41.53,1.3843333333333334
20667,CHERRY BLOSSOM PURSE,16,16,20,49.69,2.4844999999999997
20668,DISCO BALL CHRISTMAS DECORATION,214,214,12979,1512.92,0.11656676169196395
20669,RED HEART LUGGAGE TAG,96,96,304,447.34,1.4715131578947367
20670,VIP HOLIDAY PURSE,11,11,14,44.04,3.1457142857142855
20671,BLUE TEATIME PRINT BOWL ,2,2,10,12.5,1.25
20674,GREEN POLKADOT BOWL,206,206,1570,2024.98,1.289796178343949
20675,BLUE POLKADOT BOWL,322,322,3109,3969.37,1.276735284657446
20676,RED RETROSPOT BOWL,449,449,5054,6413.56,1.2690067273446775
20677,PINK POLKADOT BOWL,332,332,3671,4743.59,1.2921792427131573
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1,1,4,6.6,1.65
20679,EDWARDIAN PARASOL RED,323,323,1701,9967.87,5.860005878894769
20681,PINK POLKADOT CHILDRENS UMBRELLA,48,48,138,500.46,3.6265217391304345
20682,RED RETROSPOT CHILDRENS UMBRELLA,241,241,1221,4125.83,3.379058149058149
20684,STRAWBERRY DREAM CHILDS UMBRELLA,35,35,81,273.81,3.3803703703703705
20685,DOORMAT RED RETROSPOT,695,695,4026,27621.32,6.86073522106309
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,77,77,270,932.42,3.4534074074074073
20694,FLORAL PINK MONSTER,16,16,43,187.54,4.361395348837209
20695,FLORAL BLUE MONSTER,4,4,5,21.25,4.25
20696,FLORAL SOFT CAR TOY,30,30,54,230.81,4.274259259259259
20697,LITTLE GREEN MONSTER SOFT TOY,11,11,21,53.55,2.55
20698,LITTLE PINK MONSTER SOFT TOY,8,8,17,43.349999999999994,2.55
20699,MOUSEY LONG LEGS SOFT TOY,41,41,97,266.03,2.7425773195876286
20700,GREEN CAT FLORAL CUSHION COVER ,54,54,73,345.17,4.728356164383562
20701,PINK CAT FLORAL CUSHION COVER ,18,18,25,100.97,4.0388
20702,PINK PADDED MOBILE,42,42,135,577.79,4.279925925925926
20703,BLUE PADDED SOFT MOBILE,4,4,-6,-25.5,4.25
20704,MR ROBOT SOFT TOY,45,45,212,669.9,3.1599056603773583
20705,MRS ROBOT SOFT TOY,29,29,142,426.9,3.0063380281690137
20707,CRAZY DAISY HEART DECORATION,150,150,463,467.14,1.0089416846652268
20711,JUMBO BAG TOYS ,528,528,4985,10974.31,2.2014663991975927
20712,JUMBO BAG WOODLAND ANIMALS,867,867,9533,21665.96,2.2727326130284276
20713,JUMBO BAG OWLS,656,656,11201,22599.53,2.017635032586376
20716,PARTY FOOD SHOPPER BAG,73,73,400,469.63,1.174075
20717,STRAWBERRY SHOPPER BAG,414,414,2835,3536.98,1.2476119929453262
20718,RED RETROSPOT SHOPPER BAG,579,579,4741,6570.05,1.3857941362581734
20719,WOODLAND CHARLOTTE BAG,836,836,13196,16672.35,1.2634396786905122
20723,STRAWBERRY CHARLOTTE BAG,731,731,9723,12489.69,1.2845510644862697
20724,RED RETROSPOT CHARLOTTE BAG,1042,1042,17545,21606.48,1.2314893131946423
