StockCode,Description,NumberOfOrders,NumberOfCustomers,TotalQty,TotalPrice,AvgUnitPrice
10002,INFLATABLE POLITICAL GLOBE ,71,71,860,759.8900000000003,0.8835930232558143
10080,GROOVY CACTUS INFLATABLE,22,22,303,119.09,0.39303630363036307
10120,DOGGY RUBBER,29,29,193,40.53000000000001,0.21000000000000005
10123C,HEARTS WRAPPING TAPE ,3,3,5,3.25,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,5,5,16,6.72,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,4,4,17,7.14,0.42
10125,MINI FUNKY DESIGN TAPES,91,91,1296,994.8399999999998,0.7676234567901233
10133,COLOURING PENCILS BROWN TUBE,194,194,2857,1540.0199999999993,0.5390339516975846
10135,COLOURING PENCILS BROWN TUBE,176,176,2230,2206.1400000000012,0.9893004484304938
11001,ASSTD DESIGN RACING CAR PEN,116,116,1430,2152.389999999998,1.5051678321678308
15030,FAN BLACK FRAME ,12,12,143,41.469999999999985,0.28999999999999987
15034,PAPER POCKET TRAVELING FAN ,142,142,5206,731.7300000000013,0.1405551286976568
15036,ASSORTED COLOURS SILK FAN,521,521,23082,18064.159999999923,0.7826080928862283
15039,SANDALWOOD FAN,148,148,2065,1957.3900000000053,0.9478886198547242
15044A,PINK PAPER PARASOL ,103,103,463,1453.7700000000007,3.1398920086393103
15044B,BLUE PAPER PARASOL ,61,61,320,943.8800000000006,2.949625000000002
15044C,PURPLE PAPER PARASOL,90,90,311,1017.8900000000004,3.2729581993569146
15044D,RED PAPER PARASOL,86,86,643,1817.2100000000007,2.8261430793157087
15056BL,EDWARDIAN PARASOL BLACK,386,386,2801,16263.219999999972,5.806219207425909
15056N,EDWARDIAN PARASOL NATURAL,545,545,4024,23424.319999999894,5.821153081510908
15056P,EDWARDIAN PARASOL PINK,174,174,801,4721.099999999996,5.894007490636699
15058A,BLUE POLKADOT GARDEN PARASOL,93,93,195,1631.139999999999,8.364820512820508
15058B,PINK POLKADOT GARDEN PARASOL,99,99,223,1847.9199999999985,8.286636771300442
15058C,ICE CREAM DESIGN GARDEN PARASOL,72,72,240,1429.8199999999986,5.957583333333328
15060B,FAIRY CAKE DESIGN UMBRELLA,135,135,453,1828.6699999999992,4.03679911699779
16008,SMALL FOLDING SCISSOR(POINTED EDGE),70,70,2892,360.7099999999999,0.12472683264177037
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3,3,30,3.6,0.12000000000000001
16011,ANIMAL STICKERS,46,46,1773,372.33,0.21
16012,FOOD/DRINK SPONGE STICKERS,35,35,1244,261.24,0.21000000000000002
16014,SMALL CHINESE STYLE SCISSOR,54,54,13328,4335.759999999999,0.32531212484993993
16015,MEDIUM CHINESE STYLE SCISSOR,24,24,662,289.98,0.43803625377643507
16016,LARGE CHINESE STYLE SCISSOR,65,65,1273,1053.4499999999998,0.8275333857030635
16020C,CLEAR STATIONERY BOX SET ,17,17,84,69.89999999999999,0.8321428571428571
16033,MINI HIGHLIGHTER PENS,4,4,840,100.80000000000001,0.12000000000000001
16043,POP ART PUSH DOWN RUBBER ,2,2,98,11.759999999999998,0.11999999999999998
16045,POPART WOODEN PENCILS ASST,68,68,8900,380.0,0.04269662921348315
16046,TEATIME PEN CASE & PENS,14,14,68,57.8,0.85
16048,TEATIME ROUND PENCIL SHARPENER ,67,67,1461,205.4200000000001,0.14060232717316914
16049,TEATIME GEL PENS ASST,5,5,504,82.08,0.16285714285714287
16052,TEATIME PUSH DOWN RUBBER,13,13,479,115.29999999999998,0.24070981210855946
16054,POPART RECT PENCIL SHARPENER ASST,34,34,1058,127.55999999999995,0.12056710775047254
16151A,FLOWERS HANDBAG blue and orange,3,3,49,61.25,1.25
16156L,WRAP CAROUSEL,18,18,475,199.5,0.42
16156S,WRAP PINK FAIRY CAKES ,167,167,5800,2331.0,0.4018965517241379
16161G,WRAP BAD HAIR DAY,22,22,700,70.0,0.1
16161M,WRAP  PINK FLOCK,1,1,25,10.5,0.42
16161P,WRAP ENGLISH ROSE ,249,249,7201,2980.42,0.4138897375364533
16161U,WRAP SUKI AND FRIENDS,135,135,4050,1677.0,0.4140740740740741
16162L,THE KING GIFT BAG,8,8,20,13.000000000000004,0.6500000000000001
16162M,THE KING GIFT BAG 25x24x12cm,8,8,28,11.76,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,41,41,371,173.1200000000001,0.46663072776280345
16169E,WRAP 50'S  CHRISTMAS,148,148,4438,1839.96,0.41459215863001353
16169K,WRAP FOLK ART,8,8,200,84.0,0.42
16169M,WRAP DAISY CARPET ,25,25,660,277.2,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,1,1,25,10.5,0.42
16169P,WRAP GREEN RUSSIAN FOLKART ,2,2,50,21.0,0.42
16202A,PASTEL PINK PHOTO ALBUM ,2,2,7,3.5,0.5
16202B,PASTEL BLUE PHOTO ALBUM ,2,2,29,14.5,0.5
16202E,BLACK PHOTO ALBUM ,4,4,14,1.9500000000000002,0.1392857142857143
16206B,RED PURSE WITH PINK HEART,2,2,7,8.75,1.25
16207A,PINK STRAWBERRY HANDBAG ,34,34,60,163.10000000000002,2.7183333333333337
16207B,PINK HEART RED HANDBAG,18,18,29,76.14,2.62551724137931
16216,LETTER SHAPE PENCIL SHARPENER,45,45,3333,234.0000000000002,0.07020702070207027
16218,CARTOON  PENCIL SHARPENERS,64,64,3821,283.3100000000004,0.07414551164616603
16219,HOUSE SHAPE PENCIL SHARPENER,101,101,3000,404.83999999999975,0.13494666666666658
16225,RATTLE SNAKE EGGS,101,101,815,691.8499999999998,0.8488957055214721
16235,RECYCLED PENCIL WITH RABBIT ERASER,168,168,3103,702.7499999999992,0.22647437963261335
16236,KITTY PENCIL ERASERS,134,134,1438,320.0900000000004,0.22259388038943
16237,SLEEPING CAT ERASERS,287,287,4934,1035.9599999999966,0.2099635184434529
16238,PARTY TIME PENCIL ERASERS,133,133,1398,322.0900000000001,0.23039341917024328
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2,2,7,7.85,1.1214285714285714
16248B,BLUE HOLE PUNCH,7,7,13,16.25,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,17,17,40,42.580000000000005,1.0645000000000002
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,58,58,471,178.5500000000003,0.3790870488322724
16259,PIECE OF CAMO STATIONERY SET,30,30,3272,317.92,0.0971638141809291
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1,1,72,20.88,0.29
17003,BROCADE RING PURSE ,241,241,23053,5863.589999999995,0.25435257884006396
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2,2,24,50.400000000000006,2.1
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,7,7,81,66.36,0.8192592592592592
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,65,65,323,375.92999999999944,1.1638699690402459
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,85,85,525,595.8500000000004,1.1349523809523816
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,85,85,421,484.3499999999995,1.1504750593824216
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,97,97,463,550.6399999999996,1.1892872570194377
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,10,10,68,74.64,1.0976470588235294
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,94,94,448,530.5999999999996,1.184374999999999
17013D,ORIGAMI ROSE INCENSE IN TUBE,13,13,535,267.81999999999994,0.5005981308411214
17014A,ORIGAMI VANILLA INCENSE CONES,8,8,155,71.19000000000001,0.4592903225806452
17021,NAMASTE SWAGAT INCENSE,47,47,2427,643.1399999999995,0.2649938195302841
17028J,INCENSE BAZAAR PEACH,1,1,6,2.52,0.42
17038,PORCELAIN BUDAH INCENSE HOLDER,34,34,1525,158.06000000000012,0.10364590163934434
17084A,TRANQUILITY MASALA INCENSE,7,7,200,42.0,0.21
17084J,LOVE POTION MASALA INCENSE,8,8,225,47.25,0.21
17084N,FAIRY DREAMS INCENSE ,101,101,1264,313.3100000000001,0.24787183544303806
17084P,DRAGONS BLOOD INCENSE,39,39,423,104.44000000000004,0.2469030732860521
17084R,ASSORTED INCENSE PACK,27,27,4032,760.32,0.18857142857142858
17090A,LAVENDER INCENSE 40 CONES IN TIN,10,10,109,107.44999999999999,0.9857798165137613
17090D,VANILLA INCENSE 40 CONES IN TIN,12,12,29,36.25,1.25
17091A,LAVENDER INCENSE IN TIN,25,25,172,99.29,0.5772674418604652
17091J,VANILLA INCENSE IN TIN,94,94,2084,920.6699999999992,0.4417802303262952
17096,ASSORTED LAQUERED INCENSE HOLDERS,24,24,2545,455.98000000000013,0.17916699410609044
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",46,46,171,436.0500000000003,2.5500000000000016
17109D,FLOWER FAIRY INCENSE BOUQUET,5,5,61,32.35,0.5303278688524591
17129F,BLUE GLASS GEMS IN BAG,58,58,586,552.1299999999998,0.9422013651877129
17136A,BLUE STONES ON WIRE FOR CANDLE,17,17,404,33.75,0.08353960396039604
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,9,9,29,12.18,0.42
17165D,ASS COL LARGE SAND FROG P'WEIGHT,7,7,27,28.35,1.05
17174,ASSTD RASTA KEY-CHAINS,3,3,9,3.7800000000000002,0.42000000000000004
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,2,2,4,15.0,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,30,30,5884,395.6100000000002,0.06723487423521417
18094C,WHITE AND BLUE CERAMIC OIL BURNER,42,42,192,283.92999999999995,1.478802083333333
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,4,4,5,12.75,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,71,71,407,1029.4099999999999,2.529262899262899
18098C,PORCELAIN BUTTERFLY OIL BURNER,61,61,265,921.8699999999997,3.478754716981131
20615,BLUE POLKADOT PASSPORT COVER,95,95,309,466.98999999999967,1.511294498381876
20616,CHERRY BLOSSOM PASSPORT COVER,71,71,194,243.52999999999977,1.2553092783505142
20617,FIRST CLASS PASSPORT COVER ,43,43,93,194.93999999999997,2.096129032258064
20618,QUEEN OF THE SKIES PASSPORT COVER ,76,76,148,286.38999999999976,1.935067567567566
20619,TROPICAL PASSPORT COVER ,99,99,262,439.6499999999995,1.678053435114502
20622,VIPPASSPORT COVER ,50,50,186,305.79999999999984,1.6440860215053754
20652,BLUE POLKADOT LUGGAGE TAG ,78,78,268,350.6099999999998,1.3082462686567156
20653,CHERRY BLOSSOM LUGGAGE TAG,33,33,73,95.17999999999995,1.3038356164383555
20654,FIRST CLASS LUGGAGE TAG ,49,49,152,193.59000000000006,1.273618421052632
20655,QUEEN OF SKIES LUGGAGE TAG,99,99,197,292.29,1.4837055837563453
20657,TROPICAL LUGGAGE TAG,33,33,73,105.90999999999994,1.4508219178082185
20658,RED RETROSPOT LUGGAGE TAG,106,106,422,638.3600000000001,1.5127014218009482
20659,ECONOMY LUGGAGE TAG,62,62,159,248.0900000000001,1.5603144654088057
20661,BLUE POLKADOT PURSE ,33,33,44,141.14999999999995,3.207954545454544
20662,FIRST CLASS HOLIDAY PURSE ,20,20,31,90.41999999999999,2.916774193548387
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,20,20,25,66.26,2.6504000000000003
20664,TROPICAL HOLIDAY PURSE ,18,18,32,81.65999999999998,2.5518749999999994
20665,RED RETROSPOT PURSE ,155,155,461,1546.27,3.3541648590021693
20666,ECONOMY HOLIDAY PURSE,17,17,30,41.529999999999994,1.3843333333333332
20667,CHERRY BLOSSOM PURSE,16,16,20,49.690000000000005,2.4845
20668,DISCO BALL CHRISTMAS DECORATION,214,214,12979,1512.9200000000033,0.1165667616919642
20669,RED HEART LUGGAGE TAG,96,96,304,447.33999999999963,1.4715131578947356
20670,VIP HOLIDAY PURSE,11,11,14,44.04,3.1457142857142855
20671,BLUE TEATIME PRINT BOWL ,2,2,10,12.5,1.25
20674,GREEN POLKADOT BOWL,206,206,1570,2024.9800000000016,1.28979617834395
20675,BLUE POLKADOT BOWL,322,322,3109,3969.3700000000063,1.2767352846574482
20676,RED RETROSPOT BOWL,449,449,5054,6413.560000000012,1.26900672734468
20677,PINK POLKADOT BOWL,332,332,3671,4743.590000000011,1.2921792427131602
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1,1,4,6.6,1.65
20679,EDWARDIAN PARASOL RED,323,323,1701,9967.869999999955,5.860005878894741
20681,PINK POLKADOT CHILDRENS UMBRELLA,48,48,138,500.4599999999999,3.626521739130434
20682,RED RETROSPOT CHILDRENS UMBRELLA,241,241,1221,4125.830000000004,3.379058149058152
20684,STRAWBERRY DREAM CHILDS UMBRELLA,35,35,81,273.80999999999995,3.3803703703703696
20685,DOORMAT RED RETROSPOT,695,695,4026,27621.320000000098,6.8607352210631145
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,77,77,270,932.4199999999998,3.453407407407407
